Country,Term,Rate,Date
JM,3,8.60,31-Jan-79
JM,3,8.64,28-Feb-79
JM,3,8.67,31-Mar-79
JM,3,8.75,30-Apr-79
JM,3,9.58,31-May-79
JM,3,9.71,31-Jul-79
JM,3,9.71,31-Aug-79
JM,3,9.72,30-Sep-79
JM,3,9.78,31-Oct-79
JM,3,9.80,30-Nov-79
JM,3,9.79,31-Dec-79
JM,3,9.79,31-Jan-80
JM,3,10.23,29-Feb-80
JM,3,10.23,31-Mar-80
JM,3,10.27,30-Apr-80
JM,3,10.27,31-May-80
JM,3,10.27,30-Jun-80
JM,3,10.27,31-Jul-80
JM,3,10.18,30-Sep-80
JM,3,10.17,31-Oct-80
JM,3,10.13,30-Nov-80
JM,3,10.16,31-Dec-80
JM,3,10.16,31-Jan-81
JM,3,10.09,28-Feb-81
JM,3,10.03,31-Mar-81
JM,3,9.94,30-Apr-81
JM,3,9.96,31-May-81
JM,3,10.09,30-Jun-81
JM,3,9.96,31-Jul-81
JM,3,10.17,31-Aug-81
JM,3,10.08,30-Sep-81
JM,3,10.26,30-Nov-81
JM,3,10.22,31-Dec-81
JM,3,10.13,31-Jan-82
JM,3,10.17,28-Feb-82
JM,3,10.03,31-Mar-82
JM,3,9.74,30-Apr-82
JM,3,9.15,31-May-82
JM,3,8.47,30-Jun-82
JM,3,7.82,31-Jul-82
JM,3,7.50,31-Aug-82
JM,3,7.27,30-Sep-82
JM,3,7.35,31-Oct-82
JM,3,8.56,30-Nov-82
JM,3,9.48,31-Dec-82
JM,3,11.27,31-Jan-83
JM,3,11.86,28-Feb-83
JM,3,12.70,31-Mar-83
JM,3,13.52,30-Apr-83
JM,3,13.59,31-May-83
JM,3,13.80,30-Jun-83
JM,3,13.16,31-Jul-83
JM,3,12.88,31-Aug-83
JM,3,12.85,30-Sep-83
JM,3,12.61,31-Oct-83
JM,3,12.59,30-Nov-83
JM,3,12.49,31-Dec-83
JM,3,12.29,31-Jan-84
JM,3,13.26,29-Feb-84
JM,3,13.54,31-Mar-84
JM,3,13.22,30-Apr-84
JM,3,12.49,31-May-84
JM,3,13.06,31-Jul-84
JM,3,14.22,31-Aug-84
JM,3,13.91,30-Sep-84
JM,3,15.30,31-Oct-84
JM,3,15.04,30-Nov-84
JM,3,17.10,31-Dec-84
JM,3,17.00,28-Feb-85
JM,3,17.13,31-Mar-85
JM,3,20.69,30-Apr-85
JM,3,20.72,31-May-85
JM,3,18.97,30-Jun-85
